SFIX,US8608971078,20201124,-900,38.98,-35082
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201125,457,145.09,66306.13
IWV,US4642876894,20201125,12864,215.43,2771291.52
MPW,US58463J3041,20201125,3000,19.77,59310
PFE,US7170811035,20201125,2350,36.53,85845.5
SFIX,US8608971078,20201125,-900,38.55,-34695
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201126,457,145.09,66306.13
IWV,US4642876894,20201126,12864,215.43,2771291.52
MPW,US58463J3041,20201126,3000,19.77,59310
PFE,US7170811035,20201126,2350,36.53,85845.5
SFIX,US8608971078,20201126,-900,38.55,-34695
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201127,457,160.55,73371.35
IWV,US4642876894,20201127,12864,216.21,2781325.44
MPW,US58463J3041,20201127,3000,19.57,58710
PFE,US7170811035,20201127,2350,37.23,87490.5
SFIX,US8608971078,20201127,-900,41.52,-37368
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201130,457,160.7,73439.9
IWV,US4642876894,20201130,12864,214.94,2764988.16
MPW,US58463J3041,20201130,3000,19.4,58200
PFE,US7170811035,20201130,2350,38.31,90028.5
SFIX,US8608971078,20201130,-900,40.5,-36450
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201201,457,154.67,70684.19
IWV,US4642876894,20201201,12864,217.21,2794189.44
MPW,US58463J3041,20201201,3000,19.71,59130
PFE,US7170811035,20201201,2350,39.41,92613.5
SFIX,US8608971078,20201201,-900,40.07,-36063
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201202,457,154.62,70661.34
IWV,US4642876894,20201202,12864,217.56,2798691.84
MPW,US58463J3041,20201202,3000,19.6,58800
PFE,US7170811035,20201202,2350,40.8,95880
SFIX,US8608971078,20201202,-900,39.41,-35469
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201203,457,154.74,70716.18
IWV,US4642876894,20201203,12864,217.75,2801136
MPW,US58463J3041,20201203,3000,20.01,60030
PFE,US7170811035,20201203,2350,40.09,94211.5
SFIX,US8608971078,20201203,-900,38.06,-34254
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201204,457,155.03,70848.71
IWV,US4642876894,20201204,12471,220.05,2744243.55
MPW,US58463J3041,20201204,3000,20.56,61680
PFE,US7170811035,20201204,2350,40.34,94799
WWE,US98156Q1085,20201204,2027,44.97,91154.19
SFIX,US8608971078,20201204,-900,35.56,-32004
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
ETSY,US29786A1060,20201207,457,156.93,71717.01
IWV,US4642876894,20201207,12471,219.86,2741874.06
MPW,US58463J3041,20201207,3000,20.75,62250
PFE,US7170811035,20201207,2350,41.25,96937.5
WWE,US98156Q1085,20201207,2027,44.3,89796.1
SFIX,US8608971078,20201207,-900,35.83,-32247
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201208,2742,16.42,45023.64
ETSY,US29786A1060,20201208,457,163.97,74934.29
IWV,US4642876894,20201208,12127,220.68,2676186.36
